GHSL_fid,GHSL_val,total_building_area,error_percentage
1,228400,207680.449,9.976649751946564
2,216575,209866.89,3.196364133475264
3,169286,156479.109,8.184409460051311
4,250010,171937.44,45.40753892811246
5,280328,248454.204,12.828841487423576
6,242091,222410.74,8.848610458289924
7,227182,204785.618,10.936501409976952
8,48755,33594.464,45.12807824527279
9,244361,223906.59100000001,9.135242025992877
10,249831,230854.587,8.220071884471587
11,243384,235264.338,3.451293157741575
12,178181,122849.446,45.04013310731577
13,219765,175891.549,24.94346729529342
14,245397,228631.937,7.332773898512697
15,269418,247682.60199999998,8.775504546742456
16,134773,148080.59,8.986721352204228
17,7801,2566.514,203.95314422598122
18,255364,205018.211,24.55673998638101
19,248482,209268.478,18.738379699975642
20,252508,241143.866,4.7125950945814195
21,185821,184251.886,0.8516135351797708
22,214832,193113.574,11.246452307904574
23,210022,162845.681,28.96995407572399
24,207376,173602.631,19.45441080325563
25,239248,279663.311,14.451416903949903
26,59340,85018.596,30.20350512492585
27,4,5709.473000000001,99.92994099455413
28,244260,200235.809,21.986172812875836
29,273721,225551.408,21.356369453477324
30,247351,244490.569,1.1699555576722518
31,229172,208491.247,9.919242796797123
32,165663,146969.592,12.719235146274336
33,194957,158135.327,23.28491280129962
34,212402,233994.889,9.227931897264643
35,219729,297698.069,26.190653255463342
36,234297,322557.341,27.362682469533382
37,58998,84131.959,29.87444878111064
38,83573,153343.979,45.49965342949657
39,7429,10827.377,31.386890841613813
40,211071,145004.878,45.561310013308656
41,248021,213449.874,16.196367490008445
42,239163,213848.503,11.83758438561527
43,217093,213473.68899999998,1.695436574387402
44,253140,232122.55,9.054462825778888
45,213791,210997.27599999998,1.3240569039384265
46,230693,262972.218,12.274763564567872
47,255366,319532.68,20.08141389481664
48,185097,211060.929,12.301627365621993
49,85456,57453.646,48.739037379803534
50,15462,1768.811,774.1465312009028
51,836,43.474000000000004,1822.9884528683808
52,147395,97742.08,50.799942051570824
53,168095,123127.722,36.52083971796377
54,144590,111365.173,29.834126868370248
55,167663,156476.943,7.148693465976007
56,217176,272220.60599999997,20.220587562721086
57,165930,200709.516,17.328284524386977
58,276847,277417.871,0.2057801820561101
59,311981,342010.072,8.780171830729005
60,111387,131088.112,15.028908189630494
61,4927,1965.461,150.67910276520365
62,0,267.012,100.0
63,197962,151894.494,30.328621391635163
64,195878,156691.905,25.008372321467405
65,232588,205502.609,13.180071597047219
66,201675,163090.848,23.65807307593373
67,212821,149823.094,42.0481945193309
68,183979,155554.694,18.27286934844924
69,243902,183828.615,32.67901735537746
70,197653,252763.469,21.80317797426653
71,87854,98403.37700000001,10.720543665894725
72,29283,32021.123000000003,8.550989919997507
73,7168,5120.666,39.981791431036505
74,219961,199308.302,10.362186518452205
75,164552,67135.408,145.10463986455557
76,173281,88788.576,95.16136850758818
77,166481,118164.928,40.88867383729968
78,198537,131478.951,51.00287801961547
79,172013,140674.059,22.277697268975505
80,159722,134702.715,18.573705066004052
81,123618,100532.46399999999,22.963264881282537
82,194461,193107.602,0.7008517458572068
83,134878,72118.827,87.02189928851726
84,42671,8574.705,397.6381111653404
85,236486,183615.987,28.793796152401484
86,264115,229187.088,15.239912642897234
87,226083,187446.516,20.61200433301198
88,239612,166602.619,43.82246896130726
89,259313,179115.709,44.7740130934021
90,192821,161448.791,19.43167787487489
91,200222,131258.4,52.54033265680521
92,168769,136080.418,24.021517923320896
93,236195,401866.725,41.22553938746732
94,134243,539456.977,75.11516103720723
95,1670,26.316,6245.949232406141
96,176259,117283.851,50.28411712026748
97,280057,191611.68,46.158626655744584
98,249398,166379.001,49.89752222397345
99,212404,108511.494,95.74331913631194
100,195741,105721.886,85.14709433011818
101,153860,112451.375,36.82358263738438
102,176424,141705.481,24.500477155149703
103,123918,101108.951,22.55888205189667
104,188318,194867.086,3.3607963943177195
105,90453,121711.54599999999,25.68248208760736
